Ntotal  Gauge_cell_size
71      6924.1
72      5419.8
73      4708.4
74      4095.8
75      3563.1
76      3256.5
77      3079.2
78      2889.2
79      2695.1
80      2544.5
82      2250.6
84      1993.0
86      1746.0
88      1577.0
90      1428.0
92      1316.3
94      1232.9
96      1167.3
98      1113.8
100     1050.6
120     724.2
140     552.2
160     438.2
180     367.5
200     318.7
220     285.0
240     265.4
260     251.4
280     239.8
300     226.8
320     212.9
340     201.6
360     192.1
380     185.7
400     182.4
420     182.9
431     184.1
433     183.3
435     182.5
437     181.7
439     180.9
440     180.5
441     180.2
443     179.4
445     178.7
447     177.9
449     177.2
460     177.7
480     179.5
500     177.3
520     170.8
540     164.0
560     158.4
580     154.4
600     150.6
620     147.4
640     144.6
660     142.1
680     140.7
700     139.6
720     137.3
740     137.2
760     136.2
780     135.7
800     136.7
820     137.1
840     137.7
851     139.9
853     140.0
855     140.0
857     140.1
859     140.1
860     140.2
861     140.4
863     140.8
865     141.2
867     141.6
869     142.2
871     143.6
873     145.1
875     146.6
877     148.2
879     149.8
880     150.8
881     152.0
900     160.8
920     148.2
921     147.7
923     146.6
925     145.7
927     144.7
929     143.7
931     143.1
933     142.7
935     142.3
937     141.9
939     141.4
940     141.2
941     141.0
943     137.6
945     133.6
947     130.0
949     126.8
951     123.9
