Ntotal      Fugacity(kPa)      Npore/uc      Lgauge(Ang)
 270.0       4.5454520472      39.8427094791       265.760326
 295.0       5.8506774012      45.1969946822       242.258093
 320.0       7.1169814008      50.3969121711       225.841119
 345.0       8.5239722543      55.3070369708       213.128206
 370.0      10.7731871074      60.2490109328       197.402374
 395.0      13.7233696362      65.0081588849       183.158535
 420.0      17.8813736224      69.8848743432       168.183641
 445.0      21.4427909624      74.9445387812       158.080047
 470.0      24.1125815105      80.1696984046       151.199994
 495.0      25.9671550898      85.3049378158       147.028775
 520.0      27.9270011961      90.2665816262       143.639508
 545.0      29.3071340087      94.8652279784       142.712149
 570.0      30.3964343086      99.3687709796       142.618276
 595.0      30.4334606672      104.3797802432       142.524649
 620.0      29.2120268397      109.9941221903       142.431268
 645.0      21.5599354695      118.6832275024       142.338131
 670.0      13.4028883259      127.5990531816       142.245237
 695.0      16.4750393798      131.1472211606       142.152585
 720.0      21.7236000037      133.6656909609       142.060174
 745.0      27.8324622101      135.7853498967       141.968003
 770.0      47.8503987923      140.4895298154       119.385274
