Ntotal      gauge_cell_size_(A)
   270               265.760326
   295               242.258093
   320               225.841119
   345               213.128206
   370               197.402374
   395               183.158535
   420               168.183641
   445               158.080047
   470               151.199994
   495               147.028775
   520               143.639508
   545               142.712149
   570               142.618276
   595               142.524649
   620               142.431268
   645               142.338131
   670               142.245237
   695               142.152585
   720               142.060174
   745               141.968003
   770               119.385274
