Ntotal      gauge_cell_size_(A)
   470               219.254273
   520               192.276183
   570               170.355578
   620               156.531582
   670               146.410456
   720               139.339394
   770               134.271966
   820                130.27801
   870               127.049899
   920               124.680836
   970                123.17054
  1020               122.814365
  1070               122.462275
  1120               122.114189
  1170               121.770026
  1220               121.429711
  1270               121.093168
  1320               120.760326
  1370               120.431113
  1420               120.105462
  1470               115.947875
