Ntotal      gauge_cell_size_(A)
   550               216.349331
   650               182.578038
   750               157.082774
   850               141.309464
   950               130.520216
  1050               123.674045
  1150               119.167761
  1250               115.968636
  1350               113.900099
  1450               113.589064
  1550               113.281399
  1650                112.97704
  1750               112.675926
  1850               112.377997
  1950               112.083194
  2050                111.79146
  2070               111.733477
  2090               111.675614
  2110                111.61787
  2130               111.560246
  2150                111.50274
  2200               111.086556
  2250               110.292114
  2270               109.980628
  2290               109.672632
  2310               109.368057
  2330               108.891117
  2350               103.498394
