Ntotal      gauge_cell_size_(A)
   520                 141.5049
   570               132.720908
   620                129.12032
   670               125.340419
   720               120.884279
   770               117.015606
   820               114.552101
   870               113.201469
   920               112.105637
   970               111.457731
  1020               111.366667
  1070                111.31193
  1120                 111.2573
  1170               111.202778
  1220               111.148362
  1270               111.094052
  1320               110.133955
  1370               110.023583
  1420               109.913653
  1470                109.80416
  1520               109.695102
  1570               109.5
