#pressure(Pa)  molecules_uc  molecules_uc_err  loading_cc_g  loading_cc_g_err  run_time(h)
0               0               0               0               0               0
0.0012         0.00271       0.000207          0.0321        0.00245           0.136
0.00206        0.00485       0.000383          0.0574        0.00454           0.0682
0.005          0.012         0.000887          0.142         0.0105            0.212
0.01           0.0238        0.000341          0.282         0.00403           0.296
0.0193         0.0461        0.00119           0.546         0.0141            0.392
0.022          0.0538        0.00131           0.636         0.0155            0.49
0.0373         0.0862        0.00198           1.02          0.0234            0.605
0.072          0.167         0.0107            1.98          0.127             0.752
0.139          0.315         0.0123            3.73          0.145             0.932
0.268          0.626         0.0142            7.41          0.168             1.14
0.518          1.15          0.0652            13.6          0.772             1.34
1              2.03          0.0521            24.1          0.617             1.56
2              3.44          0.106             40.7          1.25              1.77
3              4.37          0.158             51.8          1.88              2.03
5              5.66          0.0539            67            0.639             2.36
7              6.62          0.192             78.3          2.27              2.73
13             8.48          0.147             100           1.74              3.21
20             9.95          0.14              118           1.65              3.78
26             10.8          0.204             128           2.42              4.4
51             13.4          0.204             159           2.42              5.17
200            19.8          0.358             234           4.23              6.32
500            25.4          0.109             301           1.29              7.84
1e+03          28.7          0.124             339           1.47              1.91
3e+03          34.6          0.126             410           1.49              2.45
5e+03          41.1          0.15              486           1.77              3.08
7e+03          48.9          0.247             579           2.93              3.85
9e+03          55.2          0.363             653           4.3               4.54
1.1e+04        60            0.233             710           2.76              5.02
1.3e+04        63.4          0.328             751           3.89              5.32
1.5e+04        66            0.425             782           5.04              5.69
1.7e+04        68.5          0.333             811           3.94              6.21
1.9e+04        70.9          0.403             839           4.77              6.41
2.1e+04        73.3          0.309             868           3.66              6.77
2.3e+04        76.4          0.691             904           8.18              7.2
2.5e+04        79.8          0.534             944           6.32              7.59
2.7e+04        84.1          1.24              995           14.6              8.17
2.8e+04        86.5          1.33              1.02e+03      15.8              8.36
2.9e+04        89.4          1.4               1.06e+03      16.5              8.87
3e+04          137           0.482             1.62e+03      5.7               15.2
3.1e+04        137           0.511             1.62e+03      6.05              16.6
3.2e+04        137           0.41              1.62e+03      4.85              17
3.3e+04        137           0.296             1.63e+03      3.5               17.2
3.4e+04        137           0.582             1.62e+03      6.88              16.9
3.5e+04        137           0.849             1.62e+03      10                17
4e+04          138           0.781             1.64e+03      9.25              17.3
4.5e+04        139           0.594             1.65e+03      7.03              17.5
5e+04          140           1                 1.65e+03      11.8              17.7
5.5e+04        140           0.283             1.66e+03      3.35              17.6
6e+04          141           0.569             1.66e+03      6.74              17.3
6.5e+04        141           0.752             1.67e+03      8.9               17.7
7e+04          142           0.311             1.68e+03      3.68              17.2
7.5e+04        142           0.494             1.68e+03      5.85              17.5
