#pressure(Pa)	molecules_uc	molecules_uc_err	loading_cc_g	loading_cc_g_err	run_time(h)
   1.2e+04	      61.7	     0.427	       731	      5.06	      5.45
   1.3e+04	      63.4	     0.316	       751	      3.74	      5.62
   1.4e+04	      64.9	     0.149	       768	      1.76	      5.69
   1.5e+04	      66.1	     0.336	       782	      3.97	      5.97
   1.6e+04	      67.1	     0.306	       794	      3.62	      6.43
   1.7e+04	      68.5	     0.213	       811	      2.52	      9.81
   1.8e+04	       131	     0.472	  1.55e+03	      5.59	      16.1
   1.9e+04	       132	     0.285	  1.57e+03	      3.37	      15.9
     2e+04	       133	     0.753	  1.57e+03	      8.91	      16.4
   2.1e+04	       133	     0.516	  1.58e+03	      6.11	      16.4
   2.2e+04	       133	     0.346	  1.58e+03	       4.1	      16.3
   2.3e+04	       134	     0.698	  1.58e+03	      8.26	        16
   2.6e+04	       135	     0.709	   1.6e+03	      8.39	      16.8
   2.9e+04	       136	     0.517	  1.61e+03	      6.11	      16.3
   3.2e+04	       136	     0.608	  1.62e+03	      7.19	        17
   3.5e+04	       137	      0.54	  1.62e+03	      6.39	      16.8
   3.8e+04	       138	      0.63	  1.63e+03	      7.45	      16.7
