Pressure[atm]	Pressure[kPa]	A.Ads[cm^3/g]	std	A.Ads[molec/uc]	std	Iso_Heat[kJ/mol]	std	Drift	TotalTime[h]
0		0			0	0		0	0		0		0	0		0
1.1843e-08      1.2000e-06          0.031128    0.01        0.002630    0.00        -1.00000            1.00   5.6e-11      0.05
2.0331e-08      2.0600e-06          0.059889    0.01        0.005060    0.00        -1.00000            1.00   9.5e-11      0.03
4.9346e-08      5.0000e-06          0.156942    0.02        0.013260    0.00        -1.00000            1.00   6.8e-12      0.08
9.8692e-08      1.0000e-05          0.280861    0.02        0.023730    0.00        -1.00000            1.00   2.0e-10      0.11
1.9055e-07      1.9307e-05          0.565037    0.09        0.047740    0.01        -1.00000            1.00  -8.5e-11      0.15
2.1712e-07      2.2000e-05          0.605042    0.03        0.051120    0.00        -1.00000            1.00  -1.5e-10      0.19
3.6788e-07      3.7276e-05          1.043436    0.11        0.088160    0.01        -1.00000            1.00  -2.2e-10      0.23
7.1027e-07      7.1969e-05          2.174102    0.19        0.183690    0.02        -1.00000            1.00  -4.3e-10      0.29
1.3713e-06      1.3895e-04          3.888978    0.25        0.328580    0.02        -1.00000            1.00  -4.1e-10      0.36
2.6476e-06      2.6827e-04          7.225110    0.52        0.610450    0.04        -1.00000            1.00   9.2e-11      0.44
5.1117e-06      5.1795e-04         14.056683    1.01        1.187650    0.09        -1.00000            1.00   4.1e-10      0.52
9.8692e-06      1.0000e-03         24.369731    1.38        2.059000    0.12        -1.00000            1.00   1.5e-10      0.60
1.9738e-05      2.0000e-03         40.059742    3.08        3.384650    0.26        -1.00000            1.00  -4.8e-10      0.68
2.9608e-05      3.0000e-03         50.984696    2.31        4.307700    0.20        -1.00000            1.00  -1.8e-11      0.77
4.9346e-05      5.0000e-03         66.049190    2.36        5.580500    0.20        -1.00000            1.00   8.6e-10      0.89
6.9085e-05      7.0000e-03         78.534327    1.68        6.635370    0.14        -1.00000            1.00   3.8e-10      1.03
1.2830e-04      1.3000e-02        100.202083    2.70        8.466080    0.23        -1.00000            1.00  -8.8e-10      1.21
1.9738e-04      2.0000e-02        119.082174    3.73       10.061260    0.32        -1.00000            1.00   1.4e-09      1.41
2.5660e-04      2.6000e-02        130.398534    3.45       11.017380    0.29        -1.00000            1.00   1.7e-09      1.64
5.0333e-04      5.1000e-02        159.408219    3.07       13.468410    0.26        -1.00000            1.00  -1.3e-09      1.92
1.9738e-03      2.0000e-01        233.641330    5.90       19.740370    0.50        -1.00000            1.00   3.5e-11      2.35
4.9346e-03      5.0000e-01        302.904507    3.51       25.592420    0.30        -1.00000            1.00  -3.3e-09      2.94
9.8692e-03      1.0000e+00        339.043788    4.28       28.645830    0.36        -1.00000            1.00   8.4e-10      0.67
4.9346e-02      5.0000e+00        492.848152    1.42       41.640770    0.12        -1.00000            1.00   1.8e-10      0.97
8.8823e-02      9.0000e+00        663.089361    6.60       56.024460    0.56        -1.00000            1.00   3.1e-08      1.41
1.2830e-01      1.3000e+01        758.712917    7.99       64.103700    0.67        -1.00000            1.00   1.4e-08      1.92
1.6778e-01      1.7000e+01        816.731813    6.28       69.005720    0.53        -1.00000            1.00  -3.4e-08      2.02
2.0725e-01      2.1000e+01        880.729282    6.34       74.412870    0.54        -1.00000            1.00  -1.2e-08      2.30
2.4673e-01      2.5000e+01        958.333796   12.22       80.969680    1.03        -1.00000            1.00  -2.8e-10      2.64
2.5167e-01      2.5500e+01        975.852069   15.19       82.449800    1.28        -1.00000            1.00  -3.5e-08      2.37
2.5660e-01      2.6000e+01        990.249384   14.20       83.666230    1.20        -1.00000            1.00   1.6e-08      2.46
2.6153e-01      2.6500e+01       1003.755825   22.45       84.807390    1.90        -1.00000            1.00   3.1e-09      2.46
2.6647e-01      2.7000e+01       1028.892155   21.48       86.931160    1.82        -1.00000            1.00   5.4e-08      2.54
2.7140e-01      2.7500e+01       1040.681115   22.72       87.927210    1.92        -1.00000            1.00   2.1e-08      2.57
2.7634e-01      2.8000e+01       1051.090861   27.05       88.806730    2.29        -1.00000            1.00   2.7e-08      2.67
2.8127e-01      2.8500e+01       1066.144466   23.11       90.078610    1.95        -1.00000            1.00  -2.3e-08      2.74
2.8621e-01      2.9000e+01       1095.816122   19.45       92.585570    1.64        -1.00000            1.00   2.9e-09      2.93
2.9114e-01      2.9500e+01       1611.695859   18.26      136.172280    1.54        -1.00000            1.00   1.2e-07      5.11
2.9608e-01      3.0000e+01       1620.342083   12.58      136.902800    1.06        -1.00000            1.00  -8.3e-08      5.60
3.0101e-01      3.0500e+01       1626.958483    5.84      137.461820    0.49        -1.00000            1.00  -2.8e-08      5.62
