#Ntotal  Npore    fugacity[kPa]  chempot[K]
71       1.545    0.000          -2047.160
96       27.105   0.004          -1697.446
121      50.873   0.021          -1560.038
146      78.373   0.089          -1433.572
171      101.604  0.222          -1353.933
196      125.698  0.482          -1286.116
221      152.290  1.451          -1189.889
246      174.905  3.065          -1124.625
271      199.639  4.645          -1088.319
296      225.913  5.997          -1066.015
321      251.921  7.283          -1049.055
346      276.431  8.717          -1033.371
371      301.737  10.951         -1013.452
396      324.764  14.140         -991.138
421      349.820  18.185         -969.175
446      374.656  21.893         -952.975
471      399.854  24.932         -941.626
496      424.507  27.159         -934.155
521      450.204  28.849         -928.888
546      472.573  30.451         -924.167
571      496.034  31.151         -922.186
580      504.374  31.447         -921.358
590      514.083  31.593         -920.953
600      524.221  31.561         -921.044
610      535.212  31.172         -922.125
620      547.272  30.338         -924.493
630      563.872  27.606         -932.731
640      582.578  23.990         -944.987
650      598.725  21.439         -954.803
660      618.609  17.320         -973.428
670      635.159  14.591         -988.398
680      645.165  14.600         -988.344
690      650.918  16.392         -978.234
700      656.945  18.073         -969.714
710      662.924  19.776         -961.851
720      667.032  22.269         -951.488
730      673.952  23.582         -946.486
740      676.992  26.531         -936.198
750      682.715  28.354         -930.399
760      691.334  37.124         -906.870
770      697.592  47.388         -885.560
780      710.319  74.250         -846.356
790      717.173  100.917        -819.568
800      720.491  110.176        -811.904
810      721.175  123.086        -802.231
