       MaxNparticles                Npore               Ngauge    Ngauge_frequencey              Chempot 
                 196                  109                   87                  101            -1483.285
                 196                  110                   86                 1196            -1380.091
                 196                  111                   85                 4293            -1316.009
                 196                  112                   84                 7310            -1318.176
                 196                  113                   83                12610            -1313.492
                 196                  114                   82                20371            -1326.371
                 196                  115                   81                37680            -1308.662
                 196                  116                   80                56206            -1316.003
                 196                  117                   79                90070            -1307.760
                 196                  118                   78               129690            -1306.089
                 196                  119                   77               180879            -1303.458
                 196                  120                   76               241645            -1301.591
                 196                  121                   75               311891            -1298.576
                 196                  122                   74               383777            -1297.439
                 196                  123                   73               459905            -1291.748
                 196                  124                   72               509377            -1291.045
                 196                  125                   71               551979            -1286.869
                 196                  126                   70               562284            -1281.835
                 196                  127                   69               533069            -1282.366
                 196                  128                   68               501195            -1277.516
                 196                  129                   67               439301            -1272.080
                 196                  130                   66               356485            -1272.526
                 196                  131                   65               286423            -1266.347
                 196                  132                   64               211156            -1260.665
                 196                  133                   63               143615            -1259.362
                 196                  134                   62                94727            -1258.273
                 196                  135                   61                60727            -1255.252
                 196                  136                   60                37000            -1259.494
                 196                  137                   59                23278            -1267.671
                 196                  138                   58                15815            -1236.312
                 196                  139                   57                 7375            -1228.087
                 196                  140                   56                 3076            -1260.970
                 196                  141                   55                 1837            -1179.551
                 196                  142                   54                  424            -1274.162
                 196                  143                   53                  284            -1130.465
