       MaxNparticles                Npore               Ngauge    Ngauge_frequencey              Chempot 
                 496                  392                  104                   75             -981.195
                 496                  393                  103                  187             -958.730
                 496                  394                  102                  357             -961.914
                 496                  395                  101                  700             -969.413
                 496                  396                  100                 1481             -947.403
                 496                  397                   99                 2411             -965.558
                 496                  398                   98                 4784             -948.241
                 496                  399                   97                 7706             -934.085
                 496                  400                   96                10447             -933.486
                 496                  401                   95                13921             -935.270
                 496                  402                   94                18736             -937.621
                 496                  403                   93                25632             -944.417
                 496                  404                   92                37502             -935.608
                 496                  405                   91                49069             -937.463
                 496                  406                   90                64870             -939.869
                 496                  407                   89                87186             -938.867
                 496                  408                   88               114555             -937.207
                 496                  409                   87               146021             -939.165
                 496                  410                   86               188190             -936.498
                 496                  411                   85               232535             -936.930
                 496                  412                   84               285397             -937.571
                 496                  413                   83               348706             -938.592
                 496                  414                   82               425941             -935.081
                 496                  415                   81               493750             -936.532
                 496                  416                   80               574852             -936.697
                 496                  417                   79               662259             -936.937
                 496                  418                   78               755499             -934.483
                 496                  419                   77               827362             -936.495
                 496                  420                   76               915305             -934.809
                 496                  421                   75               980323             -933.889
                 496                  422                   74              1025285             -934.028
                 496                  423                   73              1059701             -936.427
                 496                  424                   72              1110564             -935.067
                 496                  425                   71              1130188             -933.206
                 496                  426                   70              1110259             -930.768
                 496                  427                   69              1045706             -932.674
                 496                  428                   68               992271             -933.111
                 496                  429                   67               932572             -931.584
                 496                  430                   66               848605             -934.100
                 496                  431                   65               782911             -933.696
                 496                  432                   64               708076             -933.935
                 496                  433                   63               632268             -932.278
                 496                  434                   62               545307             -931.441
                 496                  435                   61               458424             -930.922
                 496                  436                   60               376921             -931.226
                 496                  437                   59               305890             -929.344
                 496                  438                   58               238902             -930.315
                 496                  439                   57               185474             -925.395
                 496                  440                   56               133757             -931.280
                 496                  441                   55               101377             -931.649
                 496                  442                   54                75783             -922.982
                 496                  443                   53                50364             -930.460
                 496                  444                   52                35789             -920.982
                 496                  445                   51                22385             -929.146
                 496                  446                   50                15078             -914.643
                 496                  447                   49                 8433             -919.952
                 496                  448                   48                 4912             -948.368
                 496                  449                   47                 3881             -879.422
                 496                  450                   46                 1363             -883.695
                 496                  451                   45                  492             -937.831
                 496                  452                   44                  323             -759.869
