Ntotal	gauge_cell_size(A)
71	      10199.836
96	       2676.157
121	       1593.015
146	        971.079
171	        722.657
196	        560.213
221	        385.007
246	        303.518
271	        264.558
296	        241.506
321	        225.272
346	        212.677
371	        196.812
396	        182.439
421	        167.719
446	        157.780
471	        150.949
496	        146.942
521	        143.547
546	        142.708
571	        142.615
580	        142.581
590	        142.543
600	        142.506
610	        142.469
620	        142.431
630	        142.394
640	        142.357
650	        142.320
660	        142.282
670	        142.245
680	        142.208
690	        142.171
700	        142.134
710	        142.097
720	        142.060
730	        142.023
740	        141.986
750	        141.950
760	        130.635
770	        122.576
780	        104.193
790	         95.457
800	         95.457
810	         95.457
