#Npore	fugacity[kPa]	chempot[K]
        1.5288	    6.1924e-05	       -2068.3
        1.9308	     7.243e-05	       -2054.6
        2.4379	     8.472e-05	       -2040.9
        3.0615	    9.9095e-05	       -2027.3
        3.8015	    0.00011591	       -2013.6
        4.6427	    0.00013558	       -1999.9
        5.5587	    0.00015858	       -1986.2
        6.5208	    0.00018549	       -1972.5
        7.5063	    0.00021696	       -1958.8
        8.5016	    0.00025377	       -1945.2
        9.5004	    0.00029683	       -1931.5
          10.5	    0.00034719	       -1917.8
          11.5	     0.0004061	       -1904.1
          12.5	      0.000475	       -1890.4
          13.5	     0.0005556	       -1876.7
          14.5	    0.00064987	       -1863.1
          15.5	    0.00076014	       -1849.4
          16.5	    0.00088911	       -1835.7
          17.5	       0.00104	         -1822
          18.5	     0.0012164	       -1808.3
        19.501	     0.0014228	       -1794.7
        20.504	     0.0016642	         -1781
        21.513	     0.0019466	       -1767.3
        22.539	     0.0022769	       -1753.6
        23.604	     0.0026632	       -1739.9
        24.745	     0.0031151	       -1726.2
        26.023	     0.0036437	       -1712.6
         27.51	     0.0042619	       -1698.9
        28.324	     0.0045972	       -1692.3
        29.089	     0.0049119	       -1686.5
        29.904	     0.0052482	       -1680.7
        30.764	     0.0056075	       -1674.9
        31.665	     0.0059914	       -1669.1
        32.597	     0.0064016	       -1663.4
        33.554	     0.0068399	       -1657.6
        34.529	     0.0073082	       -1651.8
        35.514	     0.0078086	         -1646
        36.507	     0.0083432	       -1640.2
        37.503	     0.0089144	       -1634.5
        38.501	     0.0095247	       -1628.7
        39.501	      0.010177	       -1622.9
        40.502	      0.010874	       -1617.1
        41.503	      0.011618	       -1611.3
        42.507	      0.012413	       -1605.6
        43.513	      0.013263	       -1599.8
        44.524	      0.014171	         -1594
        45.543	      0.015142	       -1588.2
        46.574	      0.016178	       -1582.4
        47.619	      0.017286	       -1576.6
        48.685	      0.018469	       -1570.9
        49.774	      0.019734	       -1565.1
        50.861	      0.021049	       -1559.5
        51.769	      0.022187	       -1554.9
        52.693	      0.023387	       -1550.3
        53.634	      0.024652	       -1545.7
         54.59	      0.025986	       -1541.1
        55.558	      0.027391	       -1536.5
        56.536	      0.028873	       -1531.9
        57.521	      0.030435	       -1527.3
        58.512	      0.032081	       -1522.7
        59.507	      0.033816	       -1518.1
        60.503	      0.035645	       -1513.5
        61.502	      0.037573	       -1508.9
        62.501	      0.039606	       -1504.3
        63.501	      0.041748	       -1499.7
        64.501	      0.044006	       -1495.1
        65.501	      0.046386	       -1490.5
        66.502	      0.048895	       -1485.9
        67.503	       0.05154	       -1481.3
        68.507	      0.054328	       -1476.7
        69.513	      0.057266	       -1472.1
        70.523	      0.060364	       -1467.5
         71.54	      0.063629	       -1462.9
        72.566	      0.067071	       -1458.3
        73.606	      0.070699	       -1453.7
        74.663	      0.074523	       -1449.1
        75.744	      0.078554	       -1444.5
        76.851	      0.082803	       -1439.9
         77.99	      0.087281	       -1435.3
        78.972	      0.091232	       -1431.4
        79.863	      0.094886	         -1428
        80.773	      0.098686	       -1424.6
          81.7	       0.10264	       -1421.1
        82.643	       0.10675	       -1417.7
        83.599	       0.11102	       -1414.3
        84.567	       0.11547	       -1410.9
        85.544	        0.1201	       -1407.4
        86.528	       0.12491	         -1404
        87.518	       0.12991	       -1400.6
        88.512	       0.13511	       -1397.1
        89.509	       0.14052	       -1393.7
        90.509	       0.14615	       -1390.3
        91.512	         0.152	       -1386.9
        92.518	       0.15809	       -1383.4
        93.529	       0.16442	         -1380
        94.544	       0.17101	       -1376.6
        95.567	       0.17786	       -1373.1
        96.598	       0.18498	       -1369.7
        97.641	       0.19239	       -1366.3
        98.697	       0.20009	       -1362.9
        99.768	       0.20811	       -1359.4
        100.86	       0.21644	         -1356
        101.88	       0.22448	       -1352.8
         102.8	       0.23184	         -1350
        103.73	       0.23943	       -1347.2
        104.68	       0.24728	       -1344.4
        105.63	       0.25538	       -1341.6
         106.6	       0.26375	       -1338.7
        107.57	       0.27239	       -1335.9
        108.55	       0.28132	       -1333.1
        109.53	       0.29054	       -1330.3
        110.52	       0.30006	       -1327.5
        111.51	       0.30989	       -1324.7
         112.5	       0.32004	       -1321.9
         113.5	       0.33053	         -1319
        114.49	       0.34136	       -1316.2
        115.48	       0.35255	       -1313.4
        116.46	        0.3641	       -1310.6
        117.45	       0.37603	       -1307.8
        118.42	       0.38835	         -1305
        119.39	       0.40107	       -1302.2
        120.35	       0.41422	       -1299.3
        121.29	       0.42779	       -1296.5
        122.23	       0.44181	       -1293.7
        123.15	       0.45628	       -1290.9
        124.05	       0.47123	       -1288.1
        125.02	       0.48803	         -1285
        126.14	       0.50868	       -1281.4
        127.24	       0.53021	       -1277.8
        128.31	       0.55265	       -1274.2
        129.37	       0.57604	       -1270.5
        130.41	       0.60042	       -1266.9
        131.44	       0.62583	       -1263.3
        132.46	       0.65232	       -1259.7
        133.48	       0.67992	       -1256.1
        134.49	        0.7087	       -1252.5
        135.49	       0.73869	       -1248.8
         136.5	       0.76996	       -1245.2
         137.5	       0.80254	       -1241.6
         138.5	       0.83651	         -1238
         139.5	       0.87191	       -1234.4
         140.5	       0.90881	       -1230.7
        141.51	       0.94727	       -1227.1
        142.51	       0.98736	       -1223.5
        143.52	        1.0291	       -1219.9
        144.53	        1.0727	       -1216.3
        145.55	        1.1181	       -1212.7
        146.58	        1.1654	         -1209
        147.62	        1.2147	       -1205.4
        148.67	        1.2662	       -1201.8
        149.74	        1.3197	       -1198.2
        150.83	        1.3756	       -1194.6
        151.93	        1.4338	       -1190.9
         152.9	        1.4856	       -1187.8
        153.81	        1.5355	         -1185
        154.74	        1.5872	       -1182.1
        155.68	        1.6405	       -1179.2
        156.63	        1.6956	       -1176.3
         157.6	        1.7526	       -1173.4
        158.57	        1.8115	       -1170.5
        159.55	        1.8724	       -1167.6
        160.54	        1.9353	       -1164.8
        161.53	        2.0004	       -1161.9
        162.53	        2.0676	         -1159
        163.54	        2.1371	       -1156.1
        164.55	        2.2089	       -1153.2
        165.58	        2.2832	       -1150.3
        166.62	        2.3599	       -1147.4
        167.68	        2.4392	       -1144.6
        168.76	        2.5212	       -1141.7
        169.88	         2.606	       -1138.8
        171.04	        2.6935	       -1135.9
        172.25	        2.7841	         -1133
        173.53	        2.8776	       -1130.1
        174.88	        2.9743	       -1127.2
        176.24	        3.0696	       -1124.5
        176.99	        3.1216	         -1123
        177.77	        3.1746	       -1121.5
        178.58	        3.2284	       -1120.1
         179.4	        3.2831	       -1118.6
        180.25	        3.3388	       -1117.1
        181.11	        3.3954	       -1115.7
           182	         3.453	       -1114.2
        182.91	        3.5115	       -1112.7
        183.83	        3.5711	       -1111.3
        184.78	        3.6316	       -1109.8
