#fugacity[kPa]	canonical_work_function
    6.19236e-05	       -23.6919
    7.24304e-05	       -23.6919
    8.47199e-05	       -23.8486
    9.90947e-05	        -24.162
    0.000115908	       -24.6322
    0.000135575	       -25.2591
    0.000158579	       -26.0427
    0.000185485	       -26.9831
    0.000216957	       -28.0801
    0.000253769	       -29.3339
    0.000296827	       -30.7445
    0.000347191	       -32.3117
      0.0004061	       -34.0357
    0.000475005	       -35.9164
      0.0005556	       -37.9538
    0.000649871	        -40.148
    0.000760137	       -42.4988
    0.000889113	       -45.0064
     0.00103997	       -47.6708
     0.00121643	       -50.4918
     0.00142282	       -53.4696
     0.00166424	       -56.6041
     0.00194662	       -59.8953
     0.00227691	       -63.3432
     0.00266324	       -66.9479
     0.00311512	       -70.7093
     0.00364367	       -74.6274
     0.00426191	       -78.7023
     0.00459718	       -80.7469
     0.00491192	       -82.6011
     0.00524821	       -84.5215
     0.00560753	       -86.5082
     0.00599144	       -88.5611
     0.00640164	       -90.6802
     0.00683993	       -92.8656
     0.00730822	       -95.1171
     0.00780857	       -97.4349
     0.00834318	       -99.8189
     0.00891439	       -102.269
     0.00952471	       -104.786
      0.0101768	       -107.368
      0.0108736	       -110.017
       0.011618	       -112.732
      0.0124134	       -115.514
      0.0132633	       -118.361
      0.0141714	       -121.275
      0.0151416	       -124.255
      0.0161783	       -127.301
      0.0172859	       -130.414
      0.0184694	       -133.592
      0.0197339	       -136.837
      0.0210487	       -140.062
      0.0221872	       -142.749
      0.0233873	       -145.488
      0.0246523	        -148.28
      0.0259858	       -151.125
      0.0273913	       -154.022
      0.0288729	       -156.972
      0.0304347	       -159.975
      0.0320809	        -163.03
      0.0338161	       -166.138
      0.0356452	       -169.299
      0.0375733	       -172.512
      0.0396056	       -175.778
      0.0417479	       -179.097
       0.044006	       -182.468
      0.0463863	       -185.892
      0.0488953	       -189.369
      0.0515401	       -192.898
      0.0543279	        -196.48
      0.0572664	       -200.115
       0.060364	       -203.802
      0.0636291	       -207.543
      0.0670707	       -211.335
      0.0706986	       -215.181
      0.0745227	       -219.079
      0.0785536	        -223.03
      0.0828025	       -227.033
      0.0872813	       -231.089
      0.0912321	       -234.543
      0.0948859	       -237.645
       0.098686	       -240.786
       0.102638	       -243.967
       0.106749	       -247.187
       0.111024	       -250.446
       0.115471	       -253.745
       0.120095	       -257.083
       0.124905	        -260.46
       0.129907	       -263.876
        0.13511	       -267.332
       0.140521	       -270.827
       0.146149	       -274.361
       0.152002	       -277.934
        0.15809	       -281.547
       0.164421	       -285.199
       0.171007	        -288.89
       0.177855	       -292.621
       0.184978	        -296.39
       0.192387	       -300.199
       0.200092	       -304.048
       0.208105	       -307.935
        0.21644	       -311.862
       0.224483	       -315.547
       0.231838	       -318.836
       0.239435	       -322.157
        0.24728	        -325.51
       0.255383	       -328.895
       0.263751	       -332.313
       0.272393	       -335.763
       0.281319	       -339.245
       0.290537	       -342.759
       0.300057	       -346.306
       0.309889	       -349.884
       0.320043	       -353.495
        0.33053	       -357.139
        0.34136	       -360.814
       0.352545	       -364.522
       0.364097	       -368.262
       0.376027	       -372.034
       0.388349	       -375.839
       0.401074	       -379.676
       0.414216	       -383.544
       0.427788	       -387.446
       0.441806	       -391.379
       0.456282	       -395.345
       0.471233	       -399.343
       0.488029	       -403.721
       0.508684	       -408.943
       0.530212	       -414.208
       0.552651	       -419.513
       0.576041	       -424.861
        0.60042	       -430.249
       0.625831	       -435.679
       0.652317	       -441.151
       0.679924	       -446.664
         0.7087	       -452.218
       0.738693	       -457.814
       0.769956	       -463.451
       0.802542	        -469.13
       0.836507	        -474.85
       0.871909	       -480.612
        0.90881	       -486.415
       0.947272	       -492.259
       0.987362	       -498.145
        1.02915	       -504.073
         1.0727	       -510.042
         1.1181	       -516.052
        1.16542	       -522.104
        1.21475	       -528.197
        1.26616	       -534.332
        1.31974	       -540.508
         1.3756	       -546.726
        1.43381	       -552.985
        1.48562	       -558.379
        1.53555	       -563.437
        1.58715	       -568.528
         1.6405	       -573.652
        1.69563	       -578.808
        1.75262	       -583.998
        1.81153	       -589.221
        1.87241	       -594.477
        1.93534	       -599.767
        2.00039	       -605.089
        2.06762	       -610.444
        2.13711	       -615.832
        2.20894	       -621.254
        2.28318	       -626.708
        2.35992	       -632.195
        2.43923	       -637.716
